zip,kmtoSMM,milesToSMM,hoursDriveToSMM,city,state,latitude,longitude
55404,15.585,9.684519,0.251666666666667,Minneapolis,MN,44.963365,-93.26179
55405,18.85,11.71339,0.261944444444444,Minneapolis,MN,44.971798,-93.30273
55406,11.968,7.4369152,0.251388888888889,Minneapolis,MN,44.938615,-93.22082
55407,16.281,10.1170134,0.301111111111111,Minneapolis,MN,44.934915,-93.25424
55408,18.234,11.3306076,0.318333333333333,Minneapolis,MN,44.947515,-93.28742
55409,19.345,12.020983,0.314722222222222,Minneapolis,MN,44.924115,-93.28362
55410,24.267,15.0795138,0.4575,Minneapolis,MN,44.911564,-93.31947
55411,20.156,12.5249384,0.325277777777778,Minneapolis,MN,44.999165,-93.29823
55412,24.348,15.1298472,0.345,Minneapolis,MN,45.027715,-93.30337
55413,17.884,11.1131176,0.324722222222222,Minneapolis,MN,44.997665,-93.24927
55414,11.782,7.3213348,0.185,Minneapolis,MN,44.980379,-93.23003
55415,15.052,9.3533128,0.254444444444444,Minneapolis,MN,44.973415,-93.25941
55416,24.297,15.0981558,0.345555555555556,Minneapolis,MN,44.946664,-93.34215
55417,18.798,11.6810772,0.290555555555556,Minneapolis,MN,44.905365,-93.23662
55418,17.408,10.8173312,0.317777777777778,Minneapolis,MN,45.019315,-93.24304
55419,22.797,14.1660558,0.341111111111111,Minneapolis,MN,44.902414,-93.29012
55420,25.764,16.0097496,0.388888888888889,Minneapolis,MN,44.837964,-93.27657
55421,28.205,17.526587,0.383333333333333,Minneapolis,MN,45.050434,-93.25007
55422,29.192,18.1399088,0.422222222222222,Minneapolis,MN,45.014764,-93.33965
55423,25.035,15.556749,0.357777777777778,Minneapolis,MN,44.877164,-93.28124
55424,28.766,17.8751924,0.402777777777778,Minneapolis,MN,44.904414,-93.34045
55425,22.491,13.9759074,0.326944444444444,Minneapolis,MN,44.846765,-93.2449
55426,26.397,16.4030958,0.403611111111111,Minneapolis,MN,44.952064,-93.37795
55427,30.753,19.1099142,0.446111111111111,Minneapolis,MN,45.006764,-93.38223
55428,33.79,20.997106,0.483611111111111,Minneapolis,MN,45.059997,-93.37702
55429,32.923,20.4583522,0.434722222222222,Minneapolis,MN,45.064714,-93.34155
